date,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,city,has_basement
2014-05-02,5561000190,437500.0,3,2.25,1970,35100,2.0,0,0,4,9,1970,0,1977,0,98027,47.4635,-121.991,2340,35100,Issaquah,False
2014-05-02,472000620,790000.0,3,2.5,2600,4750,1.0,0,0,4,9,1700,900,1951,0,98117,47.6833,-122.4,2380,4750,Seattle,True
2014-05-02,1024069009,675000.0,5,2.5,2820,67518,2.0,0,0,3,8,2820,0,1979,0,98029,47.5794,-122.025,2820,48351,Issaquah,False
2014-05-02,7853361370,555000.0,4,2.5,3310,6500,2.0,0,0,3,8,3310,0,2012,0,98065,47.515,-121.87,2380,5000,Snoqualmie,False
2014-05-02,5056500260,440000.0,4,2.25,2160,8119,1.0,0,0,3,8,1080,1080,1966,0,98006,47.5443,-122.177,1850,9000,Bellevue,True
2014-05-02,3438501320,295000.0,2,2.5,1630,1368,2.0,0,0,3,7,1280,350,2009,0,98106,47.5489,-122.363,1590,2306,Seattle,True
2014-05-02,1737320120,470000.0,5,2.5,2210,9655,1.0,0,0,3,8,1460,750,1976,0,98011,47.7698,-122.222,2080,8633,Bothell,True
2014-05-02,7197300105,550000.0,4,2.5,1940,10500,1.0,0,0,4,7,1140,800,1976,0,98052,47.683,-122.114,2200,10500,Redmond,True
2014-05-02,1999700045,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,Shoreline,False
2014-05-02,1962200037,626000.0,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,98102,47.6498,-122.321,2410,3050,Seattle,True
2014-05-02,3328500250,285000.0,4,2.5,2200,9397,2.0,0,0,3,8,2200,0,1987,0,98001,47.3406,-122.269,2310,9176,Federal Way,False
2014-05-02,1088800850,612500.0,4,2.5,2730,12261,2.0,0,0,3,9,2730,0,1991,0,98011,47.7419,-122.205,2730,10872,Bothell,False
